arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,budget,step,asr,accuracy,blocked,clipped
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,1,0.76,0.24,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,2,0.738333,0.261667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,3,0.895667,0.104333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,4,0.879667,0.120333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,5,0.898,0.102,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,6,0.900667,0.099333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,7,0.807333,0.192667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,8,0.804667,0.195333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,9,0.861,0.139,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,10,0.759333,0.240667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,11,0.854667,0.145333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,12,0.847333,0.152667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,13,0.869333,0.130667,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,14,0.803667,0.196333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,15,0.842,0.158,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,16,0.786667,0.213333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,17,0.853667,0.146333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,18,0.871667,0.128333,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,19,0.811,0.189,0,0
smallcnn,0,pbs,undefended,1.0,0.5,8,32,20,20,0.879667,0.120333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,1,0.706667,0.293333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,2,0.894333,0.105667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,3,0.899667,0.100333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,4,0.856333,0.143667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,5,0.773,0.227,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,6,0.745333,0.254667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,7,0.838333,0.161667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,8,0.851,0.149,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,9,0.819667,0.180333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,10,0.849667,0.150333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,11,0.856,0.144,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,12,0.812333,0.187667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,13,0.816333,0.183667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,14,0.906667,0.093333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,15,0.818,0.182,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,16,0.857667,0.142333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,17,0.863667,0.136333,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,18,0.854333,0.145667,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,19,0.865,0.135,0,0
smallcnn,1,pbs,undefended,1.0,0.5,8,32,20,20,0.846,0.154,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,1,0.711667,0.288333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,2,0.705,0.295,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,3,0.791,0.209,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,4,0.767667,0.232333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,5,0.804,0.196,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,6,0.879333,0.120667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,7,0.863667,0.136333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,8,0.797667,0.202333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,9,0.881,0.119,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,10,0.892333,0.107667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,11,0.844333,0.155667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,12,0.818333,0.181667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,13,0.849333,0.150667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,14,0.816,0.184,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,15,0.843333,0.156667,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,16,0.836,0.164,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,17,0.864,0.136,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,18,0.851667,0.148333,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,19,0.863,0.137,0,0
smallcnn,2,pbs,undefended,1.0,0.5,8,32,20,20,0.812333,0.187667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,1,0.779333,0.220667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,2,0.796667,0.203333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,3,0.803,0.197,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,4,0.891,0.109,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,5,0.837667,0.162333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,6,0.876333,0.123667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,7,0.861333,0.138667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,8,0.800667,0.199333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,9,0.866,0.134,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,10,0.782333,0.217667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,11,0.885,0.115,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,12,0.872,0.128,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,13,0.855333,0.144667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,14,0.81,0.19,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,15,0.842667,0.157333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,16,0.848667,0.151333,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,17,0.87,0.13,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,18,0.870333,0.129667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,19,0.901333,0.098667,0,0
smallcnn,3,pbs,undefended,1.0,0.5,8,32,20,20,0.859667,0.140333,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,20,1,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,20,2,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,20,3,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,20,4,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,20,5,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,20,6,0.905333,0.094667,0,0
smallcnn,4,pbs,undefended,1.0,0.5,8,32,20,7,0.905333,0.094667,0,0
