arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,step,asr,accuracy,blocked
smallcnn,0,pbs,undefended,1.0,0.5,8,16,1,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,2,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,3,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,4,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,5,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,6,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,7,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,8,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,9,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,10,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,11,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,12,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,13,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,14,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,15,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,16,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,17,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,18,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,19,7e-06,0.87883,0
smallcnn,0,pbs,undefended,1.0,0.5,8,16,20,0.0,0.88,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,1,0.0,0.88,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,2,0.0,0.88,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,3,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,4,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,5,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,6,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,7,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,8,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,9,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,10,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,11,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,12,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,13,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,14,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,15,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,16,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,17,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,18,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,19,7e-06,0.87883,0
smallcnn,1,pbs,undefended,1.0,0.5,8,16,20,7e-06,0.87883,0
smallcnn,2,pbs,undefended,1.0,0.5,8,16,1,0.0,0.88,0
smallcnn,2,pbs,undefended,1.0,0.5,8,16,2,0.0,0.88,0
smallcnn,2,pbs,undefended,1.0,0.5,8,16,3,0.0,0.88,0
smallcnn,2,pbs,undefended,1.0,0.5,8,16,4,0.0,0.88,0
