trial,region,byte_idx,bit_idx,outcome
0,pk,1757,2,validation_abort
1,pk,2046,7,validation_abort
2,packed_s,125,2,silent_wrong_output
3,packed_s,206,1,silent_wrong_output
4,pk,2195,4,validation_abort
5,pk,1178,6,validation_abort
6,pk,1765,2,validation_abort
7,pk,1962,7,validation_abort
8,packed_s,270,7,silent_wrong_output
9,pk,2289,2,validation_abort
10,pk,1464,1,validation_abort
11,packed_s,918,3,silent_wrong_output
12,packed_s,1120,7,silent_wrong_output
13,pk,2122,6,validation_abort
14,pk,1925,2,validation_abort
15,pk,1987,6,validation_abort
16,pk,2127,3,validation_abort
17,pk,1279,1,validation_abort
18,packed_s,245,5,silent_wrong_output
19,packed_s,410,7,silent_wrong_output
20,packed_s,301,3,silent_wrong_output
21,pk,1609,4,validation_abort
22,packed_s,760,1,silent_wrong_output
23,pk,1652,5,validation_abort
24,packed_s,865,3,silent_wrong_output
25,packed_s,984,0,silent_wrong_output
26,pk,1808,1,validation_abort
27,pk,1404,2,validation_abort
28,pk,1413,7,validation_abort
29,packed_s,691,4,silent_wrong_output
30,packed_s,869,3,silent_wrong_output
31,pk,1736,0,validation_abort
32,packed_s,989,4,silent_wrong_output
33,packed_s,437,4,silent_wrong_output
34,packed_s,136,6,silent_wrong_output
35,packed_s,950,3,silent_wrong_output
36,packed_s,489,3,silent_wrong_output
37,pk,1901,5,validation_abort
38,pk,1534,1,validation_abort
39,pk,1426,4,validation_abort
40,pk,1177,5,validation_abort
41,pk,2133,6,validation_abort
42,pk,1927,3,validation_abort
43,pk,1627,0,validation_abort
44,packed_s,943,2,silent_wrong_output
45,pk,2018,4,validation_abort
46,pk,1411,0,validation_abort
47,pk,1795,6,validation_abort
48,packed_s,575,4,silent_wrong_output
49,packed_s,981,4,silent_wrong_output
50,pk,1998,6,validation_abort
51,pk,2258,2,validation_abort
52,pk,1456,4,validation_abort
53,packed_s,781,5,silent_wrong_output
54,packed_s,348,4,silent_wrong_output
55,pk,2013,6,validation_abort
56,pk,1621,0,validation_abort
57,pk,2122,3,validation_abort
58,packed_s,654,7,silent_wrong_output
59,pk,2035,6,validation_abort
60,packed_s,453,0,silent_wrong_output
61,packed_s,867,6,silent_wrong_output
62,pk,1823,5,validation_abort
63,pk,2238,7,validation_abort
64,pk,2170,4,validation_abort
65,packed_s,684,4,silent_wrong_output
66,pk,1453,5,validation_abort
67,packed_s,644,1,silent_wrong_output
68,pk,1794,6,validation_abort
69,pk,1951,4,validation_abort
70,packed_s,369,5,silent_wrong_output
71,packed_s,542,4,silent_wrong_output
72,pk,1863,0,validation_abort
73,pk,2078,2,validation_abort
74,pk,1594,4,validation_abort
75,packed_s,233,1,silent_wrong_output
76,pk,1710,7,validation_abort
77,pk,1903,4,validation_abort
78,packed_s,219,7,silent_wrong_output
79,pk,2203,0,validation_abort
80,pk,1153,0,validation_abort
81,packed_s,46,1,silent_wrong_output
82,z,2388,6,no_effect
83,packed_s,636,0,silent_wrong_output
84,pk,1356,7,validation_abort
85,packed_s,1071,3,silent_wrong_output
86,pk,1370,1,validation_abort
87,pk,1174,6,validation_abort
88,packed_s,1081,5,silent_wrong_output
89,pk,1449,6,validation_abort
90,packed_s,111,5,silent_wrong_output
91,packed_s,409,7,silent_wrong_output
92,pk,2288,0,validation_abort
93,H_pk,2356,4,validation_abort
94,packed_s,1121,6,silent_wrong_output
95,pk,1220,7,validation_abort
96,pk,2115,5,validation_abort
97,pk,1263,3,validation_abort
98,pk,2022,6,validation_abort
99,pk,2049,4,validation_abort
100,pk,1299,4,validation_abort
101,pk,1976,2,validation_abort
102,packed_s,624,4,silent_wrong_output
103,packed_s,87,1,silent_wrong_output
104,pk,1556,5,validation_abort
105,pk,2325,7,validation_abort
106,H_pk,2349,0,validation_abort
107,pk,2229,3,validation_abort
108,pk,2284,5,validation_abort
109,pk,1542,6,validation_abort
110,pk,1903,4,validation_abort
111,packed_s,833,1,silent_wrong_output
112,packed_s,893,6,silent_wrong_output
113,packed_s,873,1,silent_wrong_output
114,pk,2210,1,validation_abort
115,pk,1438,4,validation_abort
116,packed_s,580,7,silent_wrong_output
117,pk,1472,1,validation_abort
118,pk,1909,7,validation_abort
119,pk,1855,5,validation_abort
120,pk,1444,0,validation_abort
121,pk,1601,2,validation_abort
122,pk,1358,1,validation_abort
123,pk,1854,0,validation_abort
124,pk,2135,6,validation_abort
125,pk,1275,3,validation_abort
126,packed_s,107,7,silent_wrong_output
127,packed_s,697,1,silent_wrong_output
128,pk,2024,3,validation_abort
129,packed_s,215,1,silent_wrong_output
130,packed_s,426,0,silent_wrong_output
131,pk,1514,4,validation_abort
132,packed_s,184,6,silent_wrong_output
133,H_pk,2337,4,validation_abort
134,pk,1634,4,validation_abort
135,pk,2193,2,validation_abort
136,packed_s,713,0,silent_wrong_output
137,pk,1430,2,validation_abort
138,pk,2003,6,validation_abort
139,packed_s,881,4,silent_wrong_output
140,pk,1984,4,validation_abort
141,pk,2048,7,validation_abort
142,packed_s,608,0,silent_wrong_output
143,packed_s,777,7,silent_wrong_output
144,pk,1524,0,validation_abort
145,pk,1223,2,validation_abort
146,pk,1713,3,validation_abort
147,z,2382,6,no_effect
148,pk,1675,4,validation_abort
149,packed_s,947,2,silent_wrong_output
150,packed_s,664,7,silent_wrong_output
151,pk,2307,2,validation_abort
152,packed_s,418,2,silent_wrong_output
153,pk,1886,4,validation_abort
154,pk,1823,5,validation_abort
155,packed_s,1122,6,silent_wrong_output
156,packed_s,74,0,silent_wrong_output
157,packed_s,970,6,silent_wrong_output
158,pk,1223,6,validation_abort
159,pk,1667,4,validation_abort
160,pk,1620,4,validation_abort
161,packed_s,693,5,silent_wrong_output
162,packed_s,1027,1,silent_wrong_output
163,pk,1203,0,validation_abort
164,packed_s,135,2,silent_wrong_output
165,packed_s,1017,4,silent_wrong_output
166,pk,1215,1,validation_abort
167,packed_s,1143,5,silent_wrong_output
168,packed_s,127,0,silent_wrong_output
169,packed_s,638,6,silent_wrong_output
170,pk,1891,7,validation_abort
171,packed_s,820,6,silent_wrong_output
172,packed_s,863,7,silent_wrong_output
173,packed_s,855,4,silent_wrong_output
174,pk,1204,6,validation_abort
175,pk,1199,4,validation_abort
176,pk,1886,1,validation_abort
177,pk,1588,2,validation_abort
178,pk,1302,0,validation_abort
179,pk,1317,7,validation_abort
180,pk,1827,5,validation_abort
181,pk,2222,4,validation_abort
182,packed_s,50,2,silent_wrong_output
183,pk,2219,7,validation_abort
184,packed_s,377,4,silent_wrong_output
185,packed_s,1038,4,silent_wrong_output
186,pk,1209,5,validation_abort
187,packed_s,677,2,silent_wrong_output
188,packed_s,1047,5,silent_wrong_output
189,pk,2194,1,validation_abort
190,pk,1201,0,validation_abort
191,pk,1331,6,validation_abort
192,pk,1204,4,validation_abort
193,pk,2140,2,validation_abort
194,pk,1427,6,validation_abort
195,packed_s,190,0,silent_wrong_output
196,pk,1572,3,validation_abort
197,pk,2141,6,validation_abort
198,pk,2228,6,validation_abort
199,pk,2232,4,validation_abort
200,pk,1431,5,validation_abort
201,z,2372,4,no_effect
202,packed_s,492,3,silent_wrong_output
203,pk,2268,2,validation_abort
204,pk,2213,6,validation_abort
205,pk,1779,1,validation_abort
206,pk,1979,3,validation_abort
207,packed_s,293,3,silent_wrong_output
208,pk,2155,5,validation_abort
209,packed_s,695,4,silent_wrong_output
210,pk,1903,5,validation_abort
211,packed_s,85,3,silent_wrong_output
212,pk,2094,2,validation_abort
