arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,step,asr,accuracy,blocked,clipped
smallcnn,0,pbs,undefended,1.0,0.5,16,64,1,0.000133,0.879883,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,2,0.000266,0.879766,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,3,0.000399,0.879649,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,4,0.000532,0.879532,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,5,0.000665,0.879415,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,6,0.000798,0.879298,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,7,0.000931,0.879181,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,8,0.001064,0.879064,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,9,0.001197,0.878947,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,10,0.00133,0.87883,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,11,0.001463,0.878713,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,12,0.001596,0.878596,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,13,0.001729,0.878479,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,14,0.001862,0.878361,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,15,0.001995,0.878244,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,16,0.002128,0.878127,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,17,0.002261,0.87801,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,18,0.002394,0.877893,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,19,0.002527,0.877776,0,0
smallcnn,0,pbs,undefended,1.0,0.5,16,64,20,0.00266,0.877659,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,1,0.000133,0.879883,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,2,0.000266,0.879766,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,3,0.000399,0.879649,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,4,0.000532,0.879532,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,5,0.000665,0.879415,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,6,0.000798,0.879298,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,7,0.000931,0.879181,0,0
smallcnn,1,pbs,undefended,1.0,0.5,16,64,8,0.001064,0.879064,0,0
