arch,seed,attack,defense,clip_sigma,checksum_cov,top_k,sub_batch,budget,step,asr,accuracy,blocked,clipped
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,1,0.833,0.167,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,2,0.887,0.113,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,3,0.892667,0.107333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,4,0.896333,0.103667,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,5,0.896333,0.103667,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,6,0.904667,0.095333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,7,0.901333,0.098667,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,8,0.904667,0.095333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,9,0.901333,0.098667,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,10,0.896667,0.103333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,11,0.901,0.099,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,12,0.904667,0.095333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,13,0.898667,0.101333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,14,0.904667,0.095333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,15,0.898667,0.101333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,16,0.904667,0.095333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,17,0.898667,0.101333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,18,0.904667,0.095333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,19,0.898667,0.101333,0,0
resnet20,0,pbs,undefended,1.0,0.5,8,32,20,20,0.904667,0.095333,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,1,0.857,0.143,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,2,0.880667,0.119333,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,3,0.924333,0.075667,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,4,0.898667,0.101333,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,5,0.892,0.108,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,6,0.892,0.108,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,7,0.899,0.101,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,8,0.892,0.108,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,9,0.899,0.101,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,10,0.892,0.108,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,11,0.899,0.101,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,12,0.891,0.109,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,13,0.907,0.093,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,14,0.892333,0.107667,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,15,0.917,0.083,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,16,0.892,0.108,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,17,0.906,0.094,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,18,0.891667,0.108333,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,19,0.920333,0.079667,0,0
resnet20,1,pbs,undefended,1.0,0.5,8,32,20,20,0.892,0.108,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,1,0.871667,0.128333,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,2,0.884333,0.115667,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,3,0.887333,0.112667,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,4,0.910333,0.089667,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,5,0.883667,0.116333,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,6,0.898667,0.101333,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,7,0.901667,0.098333,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,8,0.885,0.115,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,9,0.909,0.091,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,10,0.885,0.115,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,11,0.909,0.091,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,12,0.885,0.115,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,13,0.909,0.091,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,14,0.885,0.115,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,15,0.909,0.091,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,16,0.885,0.115,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,17,0.909,0.091,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,18,0.885,0.115,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,19,0.909,0.091,0,0
resnet20,2,pbs,undefended,1.0,0.5,8,32,20,20,0.885,0.115,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,1,0.820333,0.179667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,2,0.845,0.155,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,3,0.893333,0.106667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,4,0.891333,0.108667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,5,0.892667,0.107333,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,6,0.904333,0.095667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,7,0.895333,0.104667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,8,0.869667,0.130333,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,9,0.898,0.102,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,10,0.897667,0.102333,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,11,0.894333,0.105667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,12,0.875333,0.124667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,13,0.915667,0.084333,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,14,0.912,0.088,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,15,0.909667,0.090333,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,16,0.911333,0.088667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,17,0.894333,0.105667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,18,0.926333,0.073667,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,19,0.899,0.101,0,0
resnet20,3,pbs,undefended,1.0,0.5,8,32,20,20,0.916,0.084,0,0
resnet20,4,pbs,undefended,1.0,0.5,8,32,20,1,0.832333,0.167667,0,0
resnet20,4,pbs,undefended,1.0,0.5,8,32,20,2,0.875667,0.124333,0,0
resnet20,4,pbs,undefended,1.0,0.5,8,32,20,3,0.876,0.124,0,0
resnet20,4,pbs,undefended,1.0,0.5,8,32,20,4,0.874667,0.125333,0,0
resnet20,4,pbs,undefended,1.0,0.5,8,32,20,5,0.887,0.113,0,0
